"rep","k","BIC"
89,8,190504.0855
89,9,191066.4957
89,10,191634.4294
90,2,198716.26
90,3,196846.1335
90,4,193962.0591
90,5,193029.1327
90,6,191795.1829
90,7,192358.7853
90,8,192937.4725
90,9,193533.9687
90,10,194068.5463
91,2,201339.9924
91,3,200281.1826
91,4,197149.7759
91,5,196308.6611
91,6,194832.3701
91,7,195429.4977
91,8,196010.0015
91,9,196574.3197
91,10,197140.2129
92,2,203191.046
92,3,201498.5701
92,4,198456.3678
92,5,197517.5374
92,6,196056.6432
92,7,196630.415
92,8,197226.7911
92,9,197794.8551
92,10,198317.3227
93,2,196875.3551
93,3,195870.7117
93,4,192309.4904
93,5,191251.3129
93,6,189638.8378
93,7,190217.1822
93,8,190801.5464
93,9,191363.3547
93,10,191933.9576
94,2,201163.7228
94,3,199982.905
94,4,196773.7956
94,5,195834.6025
94,6,194449.8892
94,7,195022.635
94,8,195602.286
94,9,196164.7752
94,10,196714.6104
95,2,199084.0324
95,3,197964.6804
95,4,194756.3947
95,5,193862.4212
95,6,192659.9208
95,7,193240.1456
95,8,193816.8694
95,9,194381.5899
95,10,194965.3506
96,2,202253.5673
96,3,201251.8528
96,4,198016.7838
96,5,197031.5612
96,6,195634.7714
96,7,196218.7877
96,8,196798.9616
96,9,197362.351
96,10,197924.3046
97,2,195901.8705
97,3,194991.7537
97,4,191963.2629
97,5,190927.305
97,6,189903.4907
97,7,190505.864
97,8,191087.6689
97,9,191658.4145
97,10,192244.2876
98,2,194511.5173
98,3,193440.3797
98,4,190349.2581
98,5,189641.6052
98,6,188339.4686
98,7,188912.3996
98,8,189515.3674
98,9,190107.9885
98,10,190660.4515
99,2,202132.8003
99,3,201191.5673
99,4,198213.7545
99,5,197191.4721
99,6,195562.0041
99,7,196145.7233
99,8,196727.8921
99,9,197288.174
99,10,197836.6708
100,2,196732.5893
100,3,194993.2143
100,4,191794.63
100,5,190987.2005
100,6,189936.4822
100,7,190513.6558
100,8,191116.5012
100,9,191690.8701
100,10,192261.2421
